Timestamp,Server,Throughput (Mbps)
2025-03-26 16:59:15,Oregon,3385.4380923734616
2025-03-26 16:59:39,Virginia,3711.28749980438
2025-03-26 17:10:03,Oregon,3661.491777869066
2025-03-26 17:10:26,Virginia,3476.2005075467023
2025-03-26 17:20:51,Oregon,3357.3577175492323
2025-03-26 17:21:14,Virginia,3624.0065924604883
2025-03-26 17:31:39,Oregon,3750.8669401065954
2025-03-26 17:32:02,Virginia,3565.8747834418723
2025-03-26 17:42:26,Oregon,3663.4493360058755
2025-03-26 17:42:50,Virginia,3719.276743337459
2025-03-26 17:53:14,Oregon,3936.8261043843177
2025-03-26 17:53:38,Virginia,3697.0674580038367
2025-03-26 18:04:02,Oregon,3836.3630539366786
2025-03-26 18:04:25,Virginia,3809.699648383126
2025-03-26 18:14:50,Oregon,3335.490693325059
2025-03-26 18:15:13,Virginia,3574.6372308855803
2025-03-26 18:25:38,Oregon,3776.3969300828876
2025-03-26 18:26:01,Virginia,3618.294137513694
2025-03-26 18:36:25,Oregon,3842.104563288668
2025-03-26 18:36:49,Virginia,3736.42234865397
2025-03-26 18:47:13,Oregon,3373.067518415509
2025-03-26 18:47:37,Virginia,3701.30698070412
2025-03-26 18:58:01,Oregon,4175.97358773881
2025-03-26 18:58:24,Virginia,3818.110992575986
2025-03-26 19:08:49,Oregon,3658.359360536214
2025-03-26 19:09:13,Virginia,3578.9723935731113
2025-03-26 19:19:37,Oregon,3751.4525660665645
2025-03-26 19:20:01,Virginia,3692.40198326308
2025-03-26 19:30:25,Oregon,3854.3949936851072
2025-03-26 19:30:48,Virginia,3734.7481570094637
2025-03-26 19:41:13,Oregon,3808.594329224647
2025-03-26 19:41:36,Virginia,3720.4786151803414
2025-03-26 19:52:01,Oregon,3648.6485423375057
2025-03-26 19:52:24,Virginia,3824.3383136784973
2025-03-26 20:02:48,Oregon,3767.472158203821
2025-03-26 20:03:12,Virginia,3447.7559965867777
2025-03-26 20:13:36,Oregon,3846.9601503677823
2025-03-26 20:14:00,Virginia,3691.6672628161045
2025-03-26 20:24:24,Oregon,3422.335876428313
2025-03-26 20:24:47,Virginia,3749.5814719022574
2025-03-26 20:35:12,Oregon,3581.4614494821913
2025-03-26 20:35:35,Virginia,3680.1781158110152
2025-03-26 20:46:00,Oregon,3909.9620360360773
2025-03-26 20:46:23,Virginia,3673.94276585106
2025-03-26 20:56:47,Oregon,3881.700889801745
2025-03-26 20:57:11,Virginia,3715.3555635439693
2025-03-26 21:07:35,Oregon,3621.6683371661024
2025-03-26 21:07:59,Virginia,3841.4368287747493
2025-03-26 21:18:23,Oregon,3636.7692863889956
2025-03-26 21:18:46,Virginia,3708.5919090630287
2025-03-26 21:29:11,Oregon,3800.5993402793197
2025-03-26 21:29:34,Virginia,3262.0798665680727
2025-03-26 21:39:59,Oregon,3526.5675137221715
2025-03-26 21:40:22,Virginia,3549.74585540558
2025-03-26 21:50:46,Oregon,4257.018760438445
2025-03-26 21:51:10,Virginia,3535.677175056754
2025-03-26 22:01:34,Oregon,4055.937716112807
2025-03-26 22:01:57,Virginia,3606.2492900085826
2025-03-26 22:12:22,Oregon,3584.013260339866
2025-03-26 22:12:45,Virginia,3611.9357120068785
2025-03-26 22:23:10,Oregon,3558.37611091134
2025-03-26 22:23:33,Virginia,3694.9265828880766
2025-03-26 22:33:57,Oregon,3360.3800899104244
2025-03-26 22:34:21,Virginia,3600.8785807762833
2025-03-26 22:44:45,Oregon,4062.285133059028
2025-03-26 22:45:09,Virginia,3650.4548987570056
2025-03-26 22:55:33,Oregon,4429.91714813797
2025-03-26 22:55:56,Virginia,3666.0248170004465
2025-03-26 23:06:21,Oregon,3555.942111071511
2025-03-26 23:06:44,Virginia,3657.564348444726
2025-03-26 23:17:09,Oregon,4224.315757042738
2025-03-26 23:17:32,Virginia,3747.8479911313825
2025-03-26 23:27:56,Oregon,3712.4063973177776
2025-03-26 23:28:20,Virginia,3713.5284441969147
2025-03-26 23:38:44,Oregon,3739.385362821501
2025-03-26 23:39:08,Virginia,3771.181541341134
2025-03-26 23:49:32,Oregon,3723.175198213267
2025-03-26 23:49:55,Virginia,3712.7598960294686
2025-03-27 00:00:20,Oregon,4024.358650678652
2025-03-27 00:00:43,Virginia,3616.657922751931
2025-03-27 00:11:07,Oregon,3648.1326565468694
2025-03-27 00:11:31,Virginia,3625.413717570214
2025-03-27 00:21:55,Oregon,3548.1315523200365
2025-03-27 00:22:19,Virginia,3645.761447123121
2025-03-27 00:32:43,Oregon,3446.2190842091163
